Sensor,Coordinates,Direction, Secondary Direction, Origin, Destination
0679006,"33.89681, -84.4665", N,,I-285 EW, I-75 N
0679109,"33.88643, -84.4664", E,,I-285 E, I-75
0679921,"33.88849, -84.46273", E,,,
0679922,"33.88986, -84.46014", E,,I-285 E, I-75 N
0893307,"33.7157, -84.25111", E, W,, 
0893323,"33.82764, -84.34427", N, S,,
0893332,"33.88379, -84.26857", N, S,,
0893354,"33.78967, -84.24671", N, S, ,
0893363,"33.8765, -84.24943", N, S,,
0893374,"33.92031, -84.3041", E, W, ,
0893383,"33.81117, -84.26107", E, W, ,
0893385,"33.82033, -84.24245", E, W,,
0899014,"33.89111, -84.25655", N,,I-285 N, Pleasantdale Road
0899105,"33.91324, -84.2873", E,,I-285 E, Peachtree Industrial Boulevard
0899118,"33.88593, -84.25223", N,,I-85 N, I-285 S 
0899611,"33.89369, -84.2595", S,,I-85 S,I-285 W
0899707,"33.91412, -84.2869", W,,I-285 W, Peachtree Industrial Boulevard
1210456,"33.87719, -84.36443", N, S,,
1215419,"33.69747, -84.42271", E, W,,
1215463,"33.67633, -84.39741", N, S,,
1215468,"33.70881, -84.40227", N, S,,
1215474,"33.75852, -84.37856", N, S, ,
1215486,"33.8027, -84.40639", N, S, ,
1215498,"33.75879, -84.477", E, W,,
1215505,"33.74291, -84.40256", E, W,,
1215508,"33.74314, -84.37869", E, W,,
1215524,"33.67238, -84.41434", N, S,,
1215546,"33.904, -84.43628", E, W,,
1215969,"33.80723, -84.3798", N, S,,
1216370,"33.8743, -84.44614", N, S,,
1219072,"33.89859, -84.3616", N, , SR-400 N, Glenridge Connector
1219412,"33.68659, -84.4008", N, , I-85 N, "I-75 N, I-85 N"
1219420,"33.79762, -84.3941", S, , I-85 S, I-85 N
1219438,"33.76358, -84.4916", E, , I-20 E, I-285 N
1219511,"33.6858, -84.40277", S, , "I-75 S, I-85 S", I-85 S
1219804,"33.76642, -84.4984", W, , I-285 NS, I-20 W
1219912,"33.79504, -84.392", S, , I-75 S, I-85 N
1219999,"33.82325, -84.35915", N, S, I-85, SR-400
